id,text,streets,landmarks,businesses,times,activities
336,"Did you hear about this? Do you think the mother was in the wrong, or the babysitter? Read the full story at the link in our bio and tell us what you think!",bio and tell,,,,
337,"Tick-tock I'm watchin the clock. Can't wait til we get to rock. I wanna scream and dream and throw a love parade, is that ok...",scream and dream,,,,
338,"@brunomars is up for 3 awards tonight at our #iheartawards2019, what 🏆 do you think he’s going to bring home tonight?👀 Watch live on @foxtv at 8pm EST",,,,8pm,run
339,"Day out #wollongong way! Stop at a lookout! Beautiful day for family time .
.
.
.
.
#sydney #aussieblogger #sydneyblogger #mummyblogger #instaviews #picturesque #gorgeousday #notatravelblogger",wollongong way,,,,
340,"Waka Flacka says at 32-years-old, its time to retire from the rap game. He’s “a grown ass man” ready to be a good husband & father. 👏🏾",husband & father,,,,
341,"COMMENT if you’ve grabbed your @RocktheSouth tickets!! 🤠🙌 (If not, RUN to RockTheSouth.com!) #RockTheSouth #BiggestPartyInTheSouth",,,,,run
342,Who's ready to eat all the tacos & jam out to @judahandthelion & @coolio? You won't want to miss this! 🌮🍻 @tacoluchafest,tacos & jam,,,,
343,Family Violence Prevention Center at the Maternity Fair,,Family Violence Prevention Center,,,
344,"두피가 건조해서 케어시작~
어성초 & 보성녹차가루가
민감한두피를 진정시켜주고,
노폐물은 스크럽 해주니😇👍🏻
또 멘톨,페퍼민트,티트리 성분으로
강력한 쿨링감을!!!💚
네이버쇼핑 두피케어부문 1위 제품
쇼킹두피팩으로 관리하장💆🏻
-
-
#라벨영 #labelyoung #쇼킹두피팩
#두피관리 #두피케어 #비듬 #두피팩
라벨영으로부터 제품을 제공받아 작성된 글입니다.",어성초 & 보성녹차가루가,,,,
345,The water is so blue and beautiful! #mywowmoment #livefromsandals,blue and beautiful,,,,
346,The line at @Starbucks 😱 looks like everyone in #Yukon got a gift card for Christmas! ☕️ - @jjryanonair,,,Starbucks,,
347,"4am
Finally wore @itsmyrayeraye #stingraye",,,,4am,
348,"Já passaram 10 meses do meu garoto... como passa rápido, viu?!?",,,,,
349,Big thanks to Amscot and Hillsborough County Sheriff's for helping us keep saftey first. @sbkevinshow @amscotfinancial @hcsosheriff #ad,Amscot and Hillsborough,,,,
350,"1000% Pat & Tom to me this morning. 😂 -@codyontheradio #Repost @mytherapistsays with @make_repost
・・・
V relaxing and low key",Pat & Tom; relaxing and low,,,,
351,@mjonair is hanging out at @rooseveltfieldmall @macysbackstage & loyal listener Anita came to say hi! 📻🛍,macysbackstage & loyal,,,,
352,"We have something to tell you... It's a little longer than 8 letters. 😉
We're giving away #BLISummerJam MEET & GREETS with @whydontwemusic!!! ❣
ENTER ON THE BLI APP! GOOD LUCK 💖
@kianaonair",MEET & GREETS,,,,
353,"#라벨영
쇼킹바디크림 꼬꼬버전💫
-
닭살피부 책임지는 보습력👏🏻👏🏻
매끈매끈해지는 피부에, 좋은향은 덤~
상큼한 프루티향이 기분좋게해주넹😘
용량도 든든하구~~
이제 건조한피부는 안녕👋🏻
-
-
#labelyoung #꼬꼬바디크림 #쇼킹바디크림꼬꼬버전
#바디크림 #닭살피부 #모공각화증 #뷰티스타그램 
라벨영으로부터 제품을 제공받아 작성한 후기입니다.",,,,,
354,Meu respeito e carinho pela torcida do Grêmio vem de longa data.,,,,,
355,"Tonight at 8p on CW44 night 2 of Elseworlds, the three-night superhero crossover event of the year!
True or False? Superman left Supergirl’s world to be with his love interest, Lois Lane. #sponsored",Lois Lane,,,,
356,We’ll definitely be tuning in to watch these  #iHeartAwards nominees,,,,,
357,"#ThrowbackTuesday to Pardi Gras Gang 2017! T-shirts I painted. Really overdid it for a night at Razzoo's, but I see all my t-shirt ideas through haha",,,,,
358,Army and Navy come together for 102.5 the Bone. #gobolts #bethethunder @tblightning #ad,Army and Navy,,,,
359,Did you dress us for work in a #Halloween costume? Check out @bobandsheri dressed as a Bond villain and a sexy hotdog!,villain and a,,,,
360,It’s an #iheartjingleball Winning Weekend!! Listen to the Q and score tickets to @poweratl Jingle Ball + go backstage to meet @bazzi ❤️👏🎤 ⛄️,Q and score,,,,
361,"""Get in loser, we're going shopping 🚗."" What movie can you recite line for line?⁣
.⁣
.⁣
. #MeanGirls",,,,,shopping
362,TC hanging out in #StudioD with @Bumblefoot NOW!,,,,,
363,"Presqu’un an, 30 kilos, et 1638289 bêtises séparent ces deux photos 🐶 Nouchka !",,,,,
364,Two signs the holidays are right around the corner! The @southernchristmasshow is open and @starbucks #redcups have arrived!,,,Starbucks,,
365,This Thursday Night @eliyoungband and tickets moving fast! @ironcitybham buy them now 1025thebull.com,eliyoungband and tickets,,,,
366,"It speaks to me 💃🏽
💃🏽
💃🏽
💃🏽
💃🏽
💃🏽 #hihater #girls #love #classic #blackandwhitephoto #funny #instagood #sundayvibes #storyofmylife #smile #notouching #yeg #byebitch",,,,,class
367,Post your throwback Rock The South photos with #1025RTS19 for a chance to win a pair of GA Weekend Passes to the biggest party in the south!,,,,,
368,"요즘 넘 건조하고 날씨가 오락가락해서 피부관리 하기 힘들죠..? 나만 그런거 아닐거야… 그래서 저는 요즘에 마스크팩을 정말 자주 사용하고 있어요.
세상에 있는 마스크팩은 다 써보겠다는 마음으로 정말 열심히 써보고 있는데, 또 하나의 띵 마스크팩을 만났어요…! 무려 이 제품은 마스크팩만 가지고 진행한 팝업스토어에서 완판을 기록한 제품이라는 ㅎㅎ 써보니까 제품 자체가 되게 좋더라고요!
떼어내고 두시간이 지나도 보습력이 정말 좋고 - 피부 진정효과도 좋아서 굳….b 게다가 마스크팩 시트의 밀착력은 정말 우수하댜..최고시다…♥️
마스크팩 하나만 갖고 1일 1팩 꾸준히 해주면 봄철 보습 충전 빵빵하게 해주는 피부관리가 가능할 것 같은 느낌이에요 흐흐. 이제 우리 다 같이 건조함에서 떠납시다…..!
.
#셀몽드 #봄철보습충전 #피부관리 #핵산미라클앰플마스크 #1일1팩 #데일리팩 #AD",,,,,
369,"When ur niece is feeling herself and says ""Lala take my picture"" in the midst of tryna get her in the car seat #littlediva",herself and says,,,,
370,More marital pearls of wisdom from Dr JoHo. #MarriageForDummies #dha40,from Dr,,,,
371,Kayaking adventures #escapeyourcave #kayaking #lakelife #adventure #jeep #curves #fatkini #bbw #bbwlover #thick #thickness #psfashion #waisttraining #plussize #plussizemodel #curvy #plussizeblogger,,,,,train
372,The Thursday Jolt lineup includes an all-new #FacebookTheater and OPENING NIGHT DEVILS TICKETS!,FacebookTheater and OPENING,,,,
373,"👠 Every Tuesday in February is SHOESDAY 👢 
Listen to @theacetjshow every Shoesday at 8:20am ➕ @picsbydino at 4:10pm to win designer shoes that you pick out🙌",,,,8:20am; 4:10pm,
374,"가로수길에 나만 알고싶은 바가 생겼다
여기서만 향 좋은 칵테일을 ..😍❤️
_
예약제로 맞춤 향수 제작도 해주신다는대.. 인테리어도 취향저격 다음에 여기서 생일파티할거야 ㅎ 다드루왕
.
. 
#가로수길 #칵테일 #바 #칵테일바#프레그릿가로수 #fragrit #カロスキル #林荫",,,,,
375,Check out @bigmikesaunders in the mix with classic throwbacks in the Kiss Cafe at noon,,,,,class
376,Want another clue to crack the mystery of The Unknown location we are live broadcasting from?! Come find us and we might have a prize or two for you 🔐🍻,us and we,,,,
377,"@GirlScouts $5K Cookie Buy polls close 3/7 at 10 AM PT 🍪! Get your last minute votes in now at the link in our bio!⁣
.⁣
.⁣
. #LosAngeles #LA #GirlScouts #ValentineInTheMorning",,,,10 AM,
378,Congrats to Juelz Santana and Kimbella on their marriage! The two had a private wedding ceremony ahead of Juelz prison sentence! #Loveandhiphopnewyork #kimbella #juelzsantana,Santana and Kimbella,,,,
379,Looks like @laurencrimmins and @miamonsalve are having a great time at #KeggsAndEggsby @budlight here at @macdintonsirishpub. Where are you?,,,,,
380,y’all ever seen 12 south on a beautiful Saturday? Took @jbjau89 to @outdoorvoices for the first time and now we’re both #doingthings ready 👊🏼,time and now,,,,
381,Stop no. 2 at Flanagan’s for singalongs with buds and budlights! #dillydilly🍻 #caltaclauspubcrawl,buds and budlights,,,,
382,"@beberexha came through to FLEX at the #iheartawards2019, watch live on @foxtv at 8pm EST🏆",,,,8pm,
383,"#Repost @martinlawrence
・・・
In Atlanta goin over weapons training with the team! Trigger Mike is ready to ride! 
Are y’all ready for Bad Boys 3?!",,,,,train
384,"On the blog now: places in Aus to get Christmas meal boxes and hampers!! Probably a little late, but hope this helps someone with some last minute planning!",boxes and hampers,,,,
385,"@MarioLopez and his family met #HulkHogan at #Wrestlemania35 ✊! Go behind the scenes of their night at the link in our bio!⁣
.⁣
.⁣
. #WWE #MarioLopez #LopezFamBam #Wrestlemania",MarioLopez and his,,,,
386,Catch @djkaoss1 live in the mix from 6-10pm on the Total Kaos Night Show on 101.9 KISS FM‼️🔥🔥🔥🔥🔥🔥🔥 DOWNLOAD THE 101.9 KISS FM APP TO LISTEN FROM ANYWHERE‼️,,,,10pm,
387,"Do you wish on 11:11? #Repost @omgstorytime with @get_repost
・・・
What if 🤔",,,,11:11,
388,"벌써 새해가 코앞까지 다가왔는데용… 새해에는 피부관리 탄력관리! 열심히 해야지 했는데 제 마음을 알았던 건가요!❤️
이니스프리에서 1월 1일에 안티에이징 라인인 링클 & 리프팅 사이언스가 출시된답니다! 다 똑같이 관리하는 건 노우노우~ 피부 고민 부위별로 맞춤식 탄력관리 안티에이징 제품이에요.
밴드를 붙이기 전에 먼저 스팟 트리트먼트를 피부에 찹찹 발라주고, 밴드를 붙이면 더욱더 효과 UPUP !
밴드는 안 쪽에 오일겔이 있어서 착 붙! ㅋㅋㅋㅋ붙일 때 피부의 역방향으로 밴드를 살짝 당긴 후 사용하면 보다 효과가 좋아요>_<
링클 스팟도 흡수력이 빠른 편이라 아침에 사용해도 문제 없쟈나~~~~
뭐든 보이기 시작하면 늦는다!! 피부 탄력이 무너지기 전에 미리 관리 같이해요 !
.
#이니스프리 #링클스팟 #탄력크림 #안티에이징 #리프팅사이언스 #안티에이징밴드 #리프팅밴드 #끌올케어 #리얼이니
#스킨케어추천 #innisfree #beauty #유료광고",링클 & 리프팅,,,,
389,"Stevie Wonder, Jhene Aiko, Anthony Hamilton & Marsha Ambrosius set to perform at Nipsey’s memorial service",Hamilton & Marsha,,,,
390,"Come out and Be The Thunder 11/15 at The Lucky Dill! Cheer on the Tampa @tblightning and enjoy beer specials, prizes, live DJ, and an appearance the TB Lighting Girls!",out and Be; tblightning and enjoy,,,,
391,Did a harrie kidnap him and this is his way to get help?,him and this; his way,,,,
392,WE KNOW HIM!! Santa is at @thesummitbirmingham North Pole pop up show by the movie theater 🎅 stop by and win a $300 Summit gift card ❄️,by and win,,,,
393,ALL ABOARD #choochoo #roomies4ever #tylerandalex #lansdowne #fenway #gosox,,,,,
394,"Gorgeous #sunset over the bridge tonight. 
#capecoralbridge 
#capecoral 
#LoveFL 
#gorgeous
#sunset_ig 
#sunsetlovers 
#beauty
#14thavenuephtography",,sunset over the bridge,,,
395,"Catch @djkaoss1 broadcasting live at Lowe’s at 425 Yopp rd, Jacksonville,NC from 3-5pm! FREE THANKSGIVING MEALS, KISS FM t shirts and prizes while supplies last! PULL UP!",425 Yopp rd; shirts and prizes,,,5pm,
396,Pretty much our lives! ~ @luluylala,,,,,
397,"How do you like your coffee ☕? Enter for your chance to have @ValentineInTheMorning treat your office to some breakfast treats at the link in our bio!⁣
.⁣
.⁣
. #ValentineInTheMorning",,,,,coffee
398,"Ironing 💪🏽
👟
👟
👟
👟
👟 #iron #workout #lift #motivation #homegym #girlswholift #weights #yeg #girl #love #hellyhansen #body #legs #deadlifts #bench",,,,,gym; workout
399,"#Repost @fritoontheradio
・・・
Stoked to have the delightful @avamax join me tonight to guest host the #iHeartRadio8at8 on @1027kj103! Look up KJ103 on the @iheartradio app to listen! #sweetbutpsycho",,,,,
